Interprete;Sesso
Orietta Berti - Ornella Vanoni;G
Giorgio Gaber - Pat Boone;G
Edoardo Vianello - Françoise Hardy;G
Sergio Endrigo - Chad & Jeremy;G
Milva - Richard Anthony;G
Peppino Gagliardi - Pat Boone;G
Remo Germani - Les Surfs;G
Iva Zanicchi - Vic Dana;G
I Ribelli - The New Christy Minstrels;G
Luciana Turina - Gino;G
Adriano Celentano - Trio del Clan;G
Franco Tozzi - Bobby Vinton;G
Anna Marchetti - Plinio Maggi;G
Gino Paoli - Ricardo;G
Lucio Dalla - The Yardbirds;G
Giuseppe Di Stefano - P. J. Proby;G
Luciano Tomei - Luis Alberto del Paranà e Los Paraguayos;G
Bobby Solo - The Yardbirds;G
John Foster - Paola Bertoni;G
Equipe 84 - The Renegades;G
Claudio Villa - Iva Zanicchi;G
Annarita Spinaci - Les Surfs;G
I Giganti - The Bachelors;G
Ornella Vanoni - Mario Guarnera;G
Orietta Berti - Les Compagnons de la Chanson;G
Lucio Dalla - The Rokes;G
Sergio Endrigo - Memo Remigi;G
Gian Pieretti - Antoine;G
Johnny Dorelli - Don Backy;G
Little Tony - Mario Zelinotti;G
Pino Donaggio - Carmen Villani;G
Wilma Goich - The Bachelors;G
Giorgio Gaber - Remo Germani;G
Gianni Pettenati - Gene Pitney;G
Bobby Solo - Connie Francis;G
Riki Maiocchi - Marianne Faithfull;G
Luigi Tenco - Dalida;G
Peppino Di Capri - Dionne Warwick;G
Roberta Amadei - Carmelo Pagano;G
Tony Del Monaco - Betty Curtis;G
Fred Bongusto - Anna German;G
Caterina Caselli - Sonny Bono e Cher;G
Nico Fidenco - Cher;G
Jimmy Fontana - Edoardo Vianello;G
Mino Reitano - The Hollies;G
Los Marcellos Ferial - The Happenings;G
Domenico Modugno - Gidiuli;G
Donatella Moretti - Bobby Goldsboro;G
Milva - Los Bravos;G
Sergio Endrigo - Roberto Carlos;G
Ornella Vanoni - Marisa Sannia;G
Adriano Celentano - Milva;G
Fausto Leali - Wilson Pickett;G
Antoine - Gianni Pettenati;G
Anna Identici - The Sandpipers;G
Massimo Ranieri - I Giganti;G
Gigliola Cinquetti - Giuliana Valci;G
Al Bano - Bobbie Gentry;G
Little Tony - Mario Guarnera;G
Wilma Goich - Dino;G
Annarita Spinaci - Yoko Kishi;G
Louis Armstrong - Lara Saint Paul;G
Tony Del Monaco - Dionne Warwick;G
Peppino Gagliardi - Eartha Kitt;G
Tony Renis - Domenico Modugno;G
Nino Ferrer - Pilade;G
Johnny Dorelli - Paul Anka;G
Elio Gandolfi - Shirley Bassey;G
The Rokes - The Cowsills;G
Pino Donaggio - Timi Yuro;G
Giusy Romeo - Sacha Distel;G
Iva Zanicchi - Udo Jürgens;G
Orietta Berti - Piergiorgio Farina;G
Bobby Solo - Iva Zanicchi;G
Sergio Endrigo - Mary Hopkin;G
Don Backy - Milva;G
Fausto Leali - Tony Del Monaco;G
Nada - The Rokes;G
